game_id,season,team,over,batter,batter_id,bowler,bowler_id,non_striker,non_striker_id,wides,noballs,legbyes,byes,player_out,player_out_id,fielders_name,fielders_id,wicket_type,runs_batter,runs_extras,runs_total,team_over,over_ball,inning,runs_cumulative,powerplay,wicket
603243,2012/13,West Indies,15,SF Daley,1f7825dd,HASD Siriwardene,dbd79036,Kyshona A Knight,d85a1960,0,0,0,0,,,,,,1,0,1,West Indies_15,1,1,1,0,0
1138194,2017/18,West Indies,19,AK Peters,badd245f,SFM Devine,de69af96,SR Taylor,92cf79a8,0,0,0,0,,,,,,0,0,0,West Indies_19,1,1,0,0,0
1262760,2021,Sri Lanka,14,DM de Silva,7d608e12,CV Varun,5b7ab5a9,PWH de Silva,a97c8ec2,1,0,0,0,,,,,,0,1,1,Sri Lanka_14,1,1,1,0,0
1309702,2022,Uganda,19,DM Nakrani,46a7ac78,JJ Smit,bb134e5c,Riazat Ali Shah,269cc4ff,0,0,0,0,,,,,,2,0,2,Uganda_19,1,1,2,0,0
1168113,2018/19,Ireland,19,Simi Singh,c9945bdf,Karim Janat,62175638,SW Poynter,cdf59953,0,0,0,0,,,,,,0,0,0,Ireland_19,1,1,0,0,0
1275118,2021,Rwanda,16,B Murekatete,2d4317da,FO Kibasu,1c726c76,I Muhawenimana,2f37396f,0,0,0,0,B Murekatete,2d4317da,SH Mohamedi,10ab6a37,caught,0,0,0,Rwanda_16,1,1,0,0,1
1283036,2021/22,Lesotho,10,Sarfaraj Patel,f15d17c7,P Vekaria,b68b1633,MV Matsau,dad64776,0,0,0,0,,,,,,1,0,1,Lesotho_10,1,1,1,0,0
1308237,2022/23,Pakistan,15,Ayesha Naseem,8c2c0a03,L Delany,b4f73b44,Aliya Riaz,2904b4b6,0,0,0,0,,,,,,6,0,6,Pakistan_15,1,1,6,0,0
1283030,2021/22,Uganda,3,Saud Islam,ae5a7eb5,TD Chaoana,16ddd36b,S Sesazi,c2c975f9,0,0,0,0,,,,,,4,0,4,Uganda_3,1,1,4,1,0
1322011,2022,Papua New Guinea,17,SK Atai,a64e3b89,U Aryaman Sunil,13bc54a8,SI Kamea,0730a707,0,0,0,0,,,,,,1,0,1,Papua New Guinea_17,1,1,1,0,0
1156218,2018,South Africa,18,CL Tryon,4d4605e6,SR Taylor,92cf79a8,L Wolvaardt,e60f81c9,0,0,0,0,,,,,,2,0,2,South Africa_18,1,1,2,0,0
1323295,2022,Bangladesh,19,Nurul Hasan,d365d463,TL Chivanga,61fb296e,Nasum Ahmed,37654b75,0,0,0,0,,,,,,0,0,0,Bangladesh_19,1,1,0,0,0
